180510/0502/209;Поставка периодических изданий;"Акционерное общество ""Центральное конструкторское бюро машиностроения""";172 457,30;29.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805100502209
180518/0643/059;Поставка трубопроводной арматуры из материала ХПВХ;"Общество с ограниченной ответственностью ""Аргон""";164 400,00;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180643059
180518/4465/240;"Право заключения договора на металлопрокат. Поставка черного металла проката (для нужд Филиала АО ""ОТЭК"" в г. Новоуральске)";"Открытое акционерное общество ""Объединённая теплоэнергетическая компания""";439 382,42;25.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805184465240
180518/1201/014;Поставка источников ионизирующих излучений;"Акционерное общество ""Изотоп""";30 090 000,00;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805181201014
180518/0536/763;Право заключения договора на лот № 12394/109 НВ-2-2/П-18 «Поставка арматуры регулирующей DN50 для сооружения энергоблока №2 Нововоронежской АЭС-2»;"Акционерное общество Инжиниринговая компания ""АСЭ""";983 914,83;29.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180536763
180518/0670/170;Право заключения договора на Поставка подшипников импортных (или аналог) в соответствии со спецификацией;"Филиал ОАО ""Концерн Росэнергоатом"" ""Белоярская атомная станция""";3 920 211,72;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180670170
180516/0499/231;поставка плиты из сплава 5В и круга из сплава 5В;"Акционерное общество ""Ордена Ленина Научно-исследовательский и конструкторский институт энерготехники имени Н.А. Доллежаля""";145 000,00;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805160499231
180518/1051/146;поставка лома стального 5А, 5АР;"Общество с ограниченной ответственностью ""Литейный завод ""Петрозаводскмаш""";993 200,00;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805181051146
180518/0656/302;Право заключения договора на поставку полотенец вафельных и льняных;"Филиал АО ""Концерн Росэнергоатом"" ""Курская атомная станция""";785 261,15;30.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180656302
180518/0502/208;поставка агрегатов насосных для 1,2 блоков АЭС «РУППУР»;"Акционерное общество ""Центральное конструкторское бюро машиностроения""";113 100 000,00;28.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180502208
180518/4465/239;"Право заключения договора на строительные материалы. Поставка строительных материалов (для нужд Филиала АО ""ОТЭК"" в г. Новоуральске)";"Открытое акционерное общество ""Объединённая теплоэнергетическая компания""";161 592,26;25.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805184465239
180518/0643/058;Поставка кабельно-проводниковой продукции для текущих ремонтов;"Общество с ограниченной ответственностью ""Аргон""";205 050,00;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180643058
180518/0594/124;Поставка балок IPE 100, 120, 160 и HEA 400 S355J2 DIN1025;"Акционерное общество ""Инжиниринговая компания ""АЭМ-технологии""";443 826,23;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180594124
180514/0513/715;Поставка уличных вазонов для цветов;"Акционерное общество ""Российский концерн по производству электрической и тепловой энергии на атомных станциях""";412 528,00;30.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140513715
180518/1662/094;Право заключения договора на Поставка профессиональных моющих и чистящих средств для помещений;"Общество с ограниченной ответственностью ""Белоярская АЭС - Авто""";792 321,40;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805181662094
180518/0608/340;Право заключения договора на поставка запасных частей к реакторному оборудованию (прокладок из расширенного графита);"Филиал АО ""Концерн Росэнергоатом"" ""Балаковская атомная станция""";4 624 255,76;29.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180608340
180518/0610/314;"Право заключения договора на Ф10 Поставка оборудования для спортивных игр на объект Реабилитационно-оздоровительный комплекс на базе отдыха ""Белая Вежа"" ул. Лодочная 25.";"Филиал АО ""Концерн Росэнергоатом"" ""Ростовская атомная станция""";321 537,38;28.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180610314
180518/0477/350;Поставка проката листового, фасонного;"Федеральное государственное унитарное предприятие ""Комбинат ""Электрохимприбор""";775 940,00;18.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180477350
180518/0594/123;Поставка рукавов высокого давления;"Акционерное общество ""Инжиниринговая компания ""АЭМ-технологии""";263 624,18;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180594123
180518/0479/443;Поставка соединителей;"Федеральное государственное унитарное предприятие  ""Приборостроительный завод""";1 020 086,28;01.06.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180479443
180518/0594/122;Поставка заготовок ДНИЩА 09Г2СА-А 91.3880.302 ТУ 5.961-11983-2010;"Акционерное общество ""Инжиниринговая компания ""АЭМ-технологии""";38 739 588,00;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180594122
180518/0595/113;Поставка металлических и деревянных дверей;"Акционерное общество ""ТВЭЛ-СТРОЙ""";190 800,00;28.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180595113
180518/0464/382;Право заключения договора на Поставка лабораторного оборудования (лот 8144-С);"Федеральное государственное унитарное предприятие ""Горно-химический комбинат""";1 120 590,54;25.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180464382
180518/0705/027;Право заключения договора на Поставка комплектующих для ЭВМ;"""Уралатомэнергоремонт"" - филиал Акционерного общества ""Атомэнергоремонт""";271 796,02;25.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180705027
180518/2433/229;Поставка запасных частей для серверов Intel;"Общество с ограниченной ответственностью ""Трест Росспецэнергомонтаж""";198 119,00;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805182433229
180419/0528/050;Поставка электропривода МОА для сооружения энергоблока №2 Нововоронежской АЭС-2;"Акционерное общество ""Атомэнергопроект""";1 000 000,00;31.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1804190528050
180518/0589/221;Поставка кистей и валиков;"Акционерное общество ""Обеспечение РФЯЦ-ВНИИЭФ""";164 020,00;31.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180589221
180518/0610/312;"Право заключения договора на Ф10 Поставка бассейнов из композитных материалов с системой водоочистки и дезинфекции и защитным покрытием для объекта Реабилитационно-оздоровительный комплекс 
«Белая Вежа» г. Волгодонск  ул. Лодочная 25.";"Филиал АО ""Концерн Росэнергоатом"" ""Ростовская атомная станция""";5 096 351,97;30.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180610312
180518/0664/107;Право заключения договора на Поставка регистраторов щитовых многоканальных для модернизации вторичных приборов по контролю температуры стенок барабн-сепаратора в рамках модернизации приборного парка КИПиА;"Филиал АО ""Концерн Росэнергоатом"" ""Билибинская атомная станция""";1 659 591,35;29.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180664107
180518/0464/378;Право заключения договора на Поставку бытовой техники и электроприборов;"Федеральное государственное унитарное предприятие ""Горно-химический комбинат""";2 623 349,63;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180464378
